order_id,review_id,bot_id,fund_code,fund_name,order_type,order_date,confirm_date,order_amount,reference_nav,confirm_nav,confirmed_shares,confirmed_amount,fee,action_reason,status,created_at,order_run_id,settle_run_id
2061,,bot14,006486,广发中证1000ETF联接A,buy,2024-03-21,2024-03-22,400000.0,1.183518,1.183518,337637.788019,,399.6,ZZ1000 首次建仓：dd_ladder=1.0（无回撤，close站MA60上方+5.46%）+ PE_TTM 31.5%分位（合理偏低）→ 建40%底仓。donchian_60=0（慢趋势未确认创新高），故不满仓/不冲60%，等趋势同号再加码。市场温度69.74偏暖但非极端，VIX 18.07回落中。符合T0建仓40-60%规则，取保守端。,confirmed,2026-05-28 08:55:13,5d-step-test-1,5d-step-test-1
2063,,bot14,006486,广发中证1000ETF联接A,sell,2024-04-15,2024-04-16,337637.788,1.111511,1.111511,337637.788,373411.67,1876.44,ZZ1000 清仓：donchian_60=0 + dd_ladder=0 双确认空仓（METHODOLOGY 强制降至防守仓组合）。close 跌穿 MA60（5287.51 vs 5292.20，-0.09%），趋势+回撤双失效。市场温度 41.96 偏冷，VIX 回升至 17.00。估值 PE 25.7% 分位虽不贵但小盘下行是流动性踩踏型——信流动性/拥挤度不信估值。持有 22 天，赎回费 0.5%，成本可接受。,confirmed,2026-05-28 09:05:13,5d-step-test-1,5d-step-test-1
2287,,multi_asset_allocation_bot,000051,华夏沪深300ETF联接A,buy,2024-03-14,2026-05-29,500000.0,1.2871,1.2871,388004.598817,,599.28,沪深300 PE_TTM 11.62处于历史19%分位，极低估值。市场温度69.3，风险偏好修复，ETF持续流入，VIX从2月高点22降至17。央行降准仍有空间，5年LPR超预期下调。作为A股核心配置首笔建仓至目标权重50%。,confirmed,2026-06-01 09:22:32,run-2026-06-01T09-20-21,run-2026-06-02T01-14-11
2288,,multi_asset_allocation_bot,001512,易方达中债3-5年期国债指数,buy,2024-03-14,2026-05-29,150000.0,1.3,1.3,115292.381479,,119.9,10Y国债收益率2.33%处于历史低位，曲线平坦化，债券长牛趋势延续。虽然利率下行空间压缩至23%分位，但货币政策宽松预期仍在，降准可期。作为债券核心配置。,confirmed,2026-06-01 09:22:32,run-2026-06-01T09-20-21,run-2026-06-02T01-14-11
2289,,multi_asset_allocation_bot,006961,南方中债7-10年国开行债券指数A,buy,2024-03-14,2026-05-29,150000.0,1.2906,1.2906,116155.318431,,89.95,7-10年国开债指数，久期较长受益于利率下行。10Y国债从2023年底2.66%降至2.33%，国开债利差有配置价值。作为债券配置的补充，拉长久期。,confirmed,2026-06-01 09:22:32,run-2026-06-01T09-20-21,run-2026-06-02T01-14-11
2290,,multi_asset_allocation_bot,002610,博时黄金ETF联接A,buy,2024-03-14,2026-05-29,150000.0,1.7181,1.7181,87253.392682,,89.95,"AU9999金价从年初480升至505，央行持续增持黄金（2月再增39万盎司），美联储降息预期支撑，2024大选年地缘风险利多。研报称""金价进入主升浪""。作为避险和对冲配置15%。",confirmed,2026-06-01 09:22:32,run-2026-06-01T09-20-21,run-2026-06-02T01-14-11
2390,,multi_asset_allocation_bot,000051,华夏沪深300ETF联接A,buy,2024-03-14,2026-05-29,250000.0,1.2871,1.2871,194002.299408,,299.64,宽松交易主线，A股估值便宜(PE 19%分位)但趋势未确认，用沪深300宽基做底仓暴露。估值×情绪择时信号满仓，温度69.3中性偏热，不追高但建仓。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2391,,multi_asset_allocation_bot,161907,红利ETF联接,buy,2024-03-14,2026-05-29,150000.0,2.541764,2.541764,58955.178313,,149.85,红利策略防御属性强，指数修正乖离分位低位(≤0.05)为买入信号锚点，估值便宜环境下红利有安全边际。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2392,,multi_asset_allocation_bot,001512,易方达中债3-5年期国债指数,buy,2024-03-14,2026-05-29,150000.0,1.3,1.3,115292.381479,,119.9,宽松交易主线受益资产，10Y国债收益率下行趋势(2.37%→2.27%)，利率债指数基金直接受益。中债3-5年久期适中，波动可控。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2393,,multi_asset_allocation_bot,006451,华富中证5年恒定久期国开债指数A,buy,2024-03-14,2026-05-29,100000.0,1.221268,1.221268,81841.18882,,49.98,5年久期国开债，利率下行周期中久期策略受益，国开债信用风险极低，作为债券仓位中段配置。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2394,,multi_asset_allocation_bot,006961,南方中债7-10年国开行债券指数A,buy,2024-03-14,2026-05-29,100000.0,1.2906,1.2906,77436.878954,,59.96,7-10年久期国开债，长端利率下行周期久期拉长久期策略受益最大，作为债券仓位长端增强。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2395,,multi_asset_allocation_bot,002610,博时黄金ETF联接A,buy,2024-03-14,2026-05-29,150000.0,1.7181,1.7181,87253.392682,,89.95,黄金连涨10天创新高(483→505)，央行连续增持，全球避险需求+再通胀交易。博时黄金联接直接跟踪黄金9999，作为组合对冲和避险配置。,confirmed,2026-06-02 01:00:46,run-2026-06-02T00-58-20,run-2026-06-02T01-14-11
2400,,bot102,000051,华夏沪深300ETF联接A,buy,2025-01-02,2025-01-03,400000.0,1.4115,1.4115,283046.812122,,479.42,首日建仓，中性环境无主线，按方法论建仓40%核心仓。选000051华夏沪深300ETF联接A：大盘/平衡风格，140.4亿规模最大流动性好，纯沪深300宽基作收益底盘。环境neutral+range+fair，增强仓=0，纯核心仓结构。分批建仓留后手，后续等市场信号明确再加至目标45-55%。,confirmed,2026-06-02 01:58:21,dash-bot102-2025-01-02-2025-11-24,dash-bot102-2025-01-02-2025-11-24
2402,,multi_asset_allocation_bot,006451,华富中证5年恒定久期国开债指数A,buy,2023-01-03,2023-01-04,400000.0,1.160693,1.160693,344449.479707,,199.9,宽松交易主线确认：10Y国债利率从2.895%下行至2.835%，短端利率同步走低，Nowcasting流动性转正至+0.10。债券价格趋势验证，按平衡型中枢35%加5%至40%高配。选择006451国开债指数（规模13.9亿）而非001512（规模仅0.77亿流动性风险）。,confirmed,2026-06-02 02:04:24,run-2026-06-02T02-02-00,run-2026-06-02T02-02-00
